rank,score,address,neighborhood,supervisor_district,nov_count,last_nov_date,units,year_built,assessed_improvement_value,block,lot,parcel_number,lat,lng
57,46.49,120 Trenton St,Chinatown,3,2,2026-04-23,12,1923,981809,0179,033,0179033,37.796043049,-122.408999144
58,46.41,51 06th St,South of Market,6,3,2023-07-28,84,1912,1808743,3704,050,3704050,37.781686968,-122.409222445
59,46.28,854 Filbert St,Russian Hill,3,2,2025-09-25,9,1908,2450829,0091,015,0091015,37.801078395,-122.413623282
60,46.23,1952 Stockton St,North Beach,3,2,2026-04-29,4,1908,866429,0062,020,0062020,37.803946592,-122.40962151
61,46.18,970 Bay St,Russian Hill,2,2,2026-04-13,12,1927,765894,0453,005B,0453005B,37.804644249,-122.423118487
62,46.14,3663 18th St,Mission,8,4,2023-01-17,6,1907,840295,3587,050,3587050,37.761236581,-122.425224965
63,46.01,1052 Filbert St,Russian Hill,3,2,2026-04-29,3,1908,686380,0093,014,0093014,37.800709745,-122.416926859
64,46.01,2450 Market St,Castro/Upper Market,8,2,2025-04-09,18,1960,3280937,2623,010,2623010,37.762714591,-122.436010218
65,46.01,575 Columbus Av,Chinatown,3,3,2024-08-08,3,1912,391225,0117,017,0117017,37.799989208,-122.41012046
66,45.99,1600 Clement St,Outer Richmond,1,2,2026-03-04,15,1936,823915,1416,019,1416019,37.782578121,-122.4766466
67,45.9,1740 Mission St,Mission,9,2,2026-05-27,5,1907,318318,3532,006,3532006,37.769256612,-122.420389595
68,45.81,435 Locust St,Presidio Heights,2,2,2026-01-30,8,1905,1062611,1018,003,1018003,37.786990928,-122.452163872
69,45.7,333 Bay St,North Beach,3,1,2025-10-08,25,1975,8608734,0041,035,0041035,37.805448514,-122.41287515
70,45.67,716 Valencia St,Mission,9,4,2023-01-31,6,1923,284095,3588,002,3588002,37.761367947,-122.421863538
71,45.62,462 Union St,North Beach,3,2,2025-12-31,6,1908,1153794,0104,019,0104019,37.80088897,-122.407112117
72,45.5,1534 15th St,Mission,9,2,2026-05-19,2,1907,72146,3548,022,3548022,37.766963812,-122.418531585
73,45.46,811 Oak St,Haight Ashbury,5,7,2019-10-22,7,1900,884565,0844,035,0844035,37.773493493,-122.432697721
74,45.44,132 Trenton St,Chinatown,3,2,2026-04-16,6,1910,180000,0179,035,0179035,37.796215958,-122.409033773
75,45.36,2677 Larkin St,Russian Hill,3,1,2026-03-26,33,1923,6819102,0500,037,0500037,37.802402992,-122.421714613
76,45.29,1386 Filbert St,Russian Hill,3,2,2026-01-06,5,1906,824560,0524,016,0524016,37.799855279,-122.422314971
77,45.16,916 Pacific Av,Chinatown,3,2,2024-11-27,26,1917,3312312,0159,008,0159008,37.796706601,-122.410474333
78,45.07,577 Noe St,Castro/Upper Market,8,2,2026-01-16,4,1900,557077,3584,037,3584037,37.759809088,-122.432349653
79,45.07,830 Filbert St,Russian Hill,3,2,2025-12-18,3,1907,806910,0091,011,0091011,37.801083497,-122.413247996
80,44.98,757 36th Av,Outer Richmond,1,2,2025-12-29,12,1962,429074,1608,038,1608038,37.774677666,-122.496501414
81,44.92,975 Jackson St,Chinatown,3,2,2026-01-08,13,1925,274942,0191,022,0191022,37.795223983,-122.410957976
82,44.84,770 Filbert St,Chinatown,3,2,2025-06-03,9,1927,1963242,0090,014,0090014,37.801134247,-122.412473033
83,44.69,963 Lombard St,Russian Hill,3,2,2025-12-02,2,1910,586340,0072,018,0072018,37.802002629,-122.41728177
84,44.69,154 Cole St,Lone Mountain/USF,5,2,2025-11-19,17,1910,346541,1194,014,1194014,37.773511784,-122.450717981
85,44.58,1074 Union St,Russian Hill,3,2,2025-05-01,14,1910,1857114,0098,006,0098006,37.799747905,-122.417012882
86,44.56,900 Chestnut St,Russian Hill,3,1,2021-12-29,35,1926,17820278,0048,015,0048015,37.803378414,-122.418496714
87,44.54,14 Isis St,Mission,6,3,2023-10-03,9,1914,1231868,3522,004,3522004,37.770449602,-122.414546473
88,44.49,2355 Jones St,Russian Hill,3,2,2025-12-31,5,1909,110960,0067,002,0067002,37.803074919,-122.416817724
89,44.41,755 Monterey Bl,West of Twin Peaks,7,2,2025-08-21,9,1977,951512,3114,053,3114053,37.731236186,-122.452371335
90,44.39,1330 Thomas Av,Bayview Hunters Point,10,2,2025-12-16,2,1900,202361,4791,004A,4791004A,37.727784911,-122.386117759
91,44.38,852 Jackson St,Chinatown,3,2,2025-06-17,21,1926,1148423,0179,014,0179014,37.795852479,-122.40924483
92,44.35,133 Magnolia St,Marina,2,2,2025-10-21,5,1924,520500,0493,006,0493006,37.800493542,-122.433361285
93,44.27,2906 Van Ness Av,Russian Hill,2,2,2025-10-08,5,1907,546210,0478,011A,0478011A,37.802530749,-122.42437178
94,44.14,1290 Grove St,Hayes Valley,5,1,2024-08-02,36,1929,10183207,1181,014B,1181014B,37.776195427,-122.43779377
95,44.13,775 Post St,Tenderloin,3,1,2022-04-13,80,1913,15595177,0304,014,0304014,37.787218689,-122.414587504
96,44.12,1749 Polk St,Russian Hill,3,2,2025-03-04,11,1910,1931642,0619,001,0619001,37.793038057,-122.42138106
97,44.09,139 Blake St,Lone Mountain/USF,2,3,2023-12-12,3,1900,416768,1089,003,1089003,37.781335808,-122.451304531
98,43.81,1151 South Van Ness Av,Mission,9,2,2025-02-27,12,1900,1650862,3638,065,3638065,37.75470788,-122.416128739
99,43.68,1678 48th Av,Sunset/Parkside,4,2,2025-09-16,2,1907,224826,1896,028,1896028,37.755271874,-122.5073823
100,43.64,649 Kearny St,Chinatown,3,2,2025-04-10,28,1907,810900,0226,001,0226001,37.794279091,-122.404984997
101,43.55,414 Lake St,Inner Richmond,1,2,2025-06-25,6,1917,644683,1353,018B,1353018B,37.786951772,-122.464014424
102,43.55,1080 Folsom St,South of Market,6,2,2024-11-15,3,1906,2406018,3731,125,3731125,37.777242927,-122.407609016
103,43.44,750 Ofarrell St,Tenderloin,5,1,2024-11-15,48,1913,8456075,0320,011,0320011,37.785539678,-122.417252557
104,43.24,1048 Oak St,Hayes Valley,5,2,2025-06-30,2,1908,401928,1216,004,1216004,37.77344293,-122.436594892
105,43.23,1180 Filbert St,Russian Hill,3,2,2024-10-11,14,1974,2118052,0094,014,0094014,37.800462141,-122.418893259
106,43.15,10 Brooklyn Pl,Chinatown,3,2,2025-06-03,9,1928,366447,0242,023,0242023,37.792920543,-122.407175599
107,43.13,289 Chestnut St,North Beach,3,2,2025-02-12,6,1954,1262001,0061,021,0061021,37.804211484,-122.408025358
108,43.05,1151 Post St,Tenderloin,3,2,2025-05-16,20,1910,164662,0694,014,0694014,37.786460635,-122.420697037
109,43.05,145 Hartford St,Castro/Upper Market,8,2,2025-07-14,3,1900,98953,3583,030,3583030,37.760305258,-122.433515525
110,43.04,773 Sacramento St,Chinatown,3,2,2025-06-26,3,1907,225579,0241,016A,0241016A,37.793206953,-122.405657016
111,42.99,3698 20th St,Mission,9,2,2025-05-01,9,1906,466162,3597,028,3597028,37.758546686,-122.42323202
112,42.99,429 Fillmore St,Hayes Valley,5,2,2024-12-13,6,1900,1600000,0843,006,0843006,37.77339866,-122.431022035
113,42.82,1280 Lombard St,Russian Hill,3,2,2024-09-05,13,1927,2028225,0500,016,0500016,37.801869825,-122.422540315
114,42.79,1331 46th Av,Sunset/Parkside,4,2,2025-04-23,4,1916,459725,1801,004,1801004,37.761649141,-122.506343658
115,42.78,530 Stockton St,Financial District/South Beach,3,1,2025-02-18,46,1923,7155605,0271,017,0271017,37.790935383,-122.406905516
116,42.75,2235 Sutter St,Japantown,5,4,2022-01-18,3,1900,487663,0681,032,0681032,37.785320347,-122.437049822
117,42.65,561 Baker St,Lone Mountain/USF,5,2,2025-01-08,12,1900,941770,1184,001,1184001,37.776264503,-122.441804254
118,42.6,5285 Diamond Heights Bl,Noe Valley,8,1,2020-11-19,64,1972,18403929,7520,015,7520015,37.744194708,-122.437844865
119,42.58,926 Greenwich St,Russian Hill,3,2,2025-02-20,3,1909,751603,0073,005A,0073005A,37.801825744,-122.414987813
120,42.58,536 Green St,North Beach,3,2,2025-04-01,4,1907,428981,0116,015,0116015,37.799850855,-122.408010513
121,42.57,14 Surrey St,Glen Park,8,2,2025-03-19,2,1910,560908,6729,035,6729035,37.735230286,-122.432876522
122,42.31,1320 Lombard St,Russian Hill,3,2,2023-01-30,33,1927,5555906,0499,002B,0499002B,37.801737113,-122.423301093
123,42.29,781 Ofarrell St,Tenderloin,5,2,2023-06-29,32,1927,4415305,0321,030,0321030,37.785000688,-122.417509773
124,42.26,3590 19th St,Mission,9,1,2025-12-15,39,1975,4532482,3588,050,3588050,37.760173066,-122.423359529
125,42.25,1941 Mission St,Mission,9,2,2025-02-10,2,1908,544065,3553,022,3553022,37.766032097,-122.419410819
126,42.22,745 Fillmore St,Hayes Valley,5,2,2024-12-20,17,1927,566047,0803,002,0803002,37.776418153,-122.431650629
127,42.2,6670 03rd St,Bayview Hunters Point,10,2,2025-03-07,8,1964,163485,5476,011,5476011,37.718486968,-122.39819057
128,42.03,742 Union St,Chinatown,3,2,2024-11-20,5,1908,889036,0101,007A,0101007A,37.800426079,-122.411604375
129,41.77,34 06th St,South of Market,6,1,2024-04-09,204,1911,5021754,3703,004,3703004,37.781458585,-122.409856728
130,41.73,678 Broadway,Chinatown,3,2,2024-11-07,5,1906,709952,0146,010,0146010,37.797959517,-122.408285051
131,41.73,8 Newell St,North Beach,3,4,2021-09-09,3,1906,528555,0065,006,0065006,37.803175423,-122.413438897
132,41.5,1330 Jessie St,Mission,6,3,2023-02-02,8,1907,242032,3513,077,3513077,37.771191883,-122.421242294
133,41.45,1922 Leavenworth St,Russian Hill,3,2,2024-11-22,6,1916,303708,0121,012,0121012,37.798858648,-122.417058597
134,41.28,945 Larkin St,Tenderloin,3,1,2026-05-20,20,1916,2856000,0693,002,0693002,37.786768282,-122.418506268
135,41.23,422 03rd Av,Inner Richmond,1,2,2024-10-08,6,1907,439254,1542,041,1542041,37.780666165,-122.460703881
136,41.1,3861 18th St,Castro/Upper Market,8,2,2024-08-29,3,1910,695399,3585,074,3585074,37.760967644,-122.429637366
137,41.07,4220 Cesar Chavez St,Noe Valley,8,1,2025-12-29,36,1966,3377886,6562,046,6562046,37.747492031,-122.434476434
138,41.05,820 Clay St,Chinatown,3,2,2024-09-10,7,1907,465371,0210,009,0210009,37.794281593,-122.407111361
139,40.9,702 Vallejo St,Chinatown,3,2,2024-02-06,39,1900,1249778,0130,010,0130010,37.79870326,-122.409132161
140,40.83,1466 Powell St,Chinatown,3,1,2026-05-19,72,1908,1255582,0147,015A,0147015A,37.798184977,-122.410159404
141,40.81,2346 Jones St,Russian Hill,3,2,2024-07-10,5,1913,753654,0066,016,0066016,37.803062294,-122.416091091
142,40.67,1464 La Playa,Sunset/Parkside,4,1,2026-01-15,24,1971,3135097,1805,055,1805055,37.759155708,-122.508711286
143,40.48,475 Chestnut St,North Beach,3,3,2022-02-24,7,1946,1919538,0063,024,0063024,37.803772715,-122.411005514
144,40.21,4534 Mission St,Outer Mission,11,1,2026-04-27,21,1927,1999790,3147,030,3147030,37.725451837,-122.43458477
145,40.18,1127 Kearny St,North Beach,3,2,2023-10-12,10,1907,2116753,0145,005,0145005,37.798411279,-122.405880034
146,40.13,805 Broadway,Chinatown,3,2,2024-02-02,22,1913,942624,0159,001,0159001,37.797106041,-122.410487809
147,40.1,1200 Oakdale Av,Bayview Hunters Point,10,1,2025-10-02,18,1978,3539037,4715,014,4715014,37.730691672,-122.382892309
148,40.09,826 Greenwich St,Russian Hill,3,3,2022-06-30,7,1907,595410,0074,039,0074039,37.802029645,-122.413432569
149,40.04,301 Moultrie St,Bernal Heights,9,3,2022-07-25,2,1912,468512,5663,036,5663036,37.74031,-122.415604999
150,40.0,359 Green St,North Beach,3,1,2025-10-23,12,1954,3417022,0133,038,0133038,37.799654429,-122.405202276
151,39.97,1889 Broadway,Pacific Heights,2,1,2026-03-11,22,1957,2108620,0577,017,0577017,37.794909565,-122.428049078
152,39.96,3743 17th St,Castro/Upper Market,8,2,2024-06-20,2,1885,172253,3580,065,3580065,37.762603933,-122.429444932
153,39.95,620 Jones St,Tenderloin,3,1,2022-07-06,167,1929,9043608,0305,036,0305036,37.787160291,-122.412889612
154,39.89,589 Dolores St,Mission,8,1,2026-01-22,9,1907,2692195,3587,030,3587030,37.76007727,-122.425570891
155,39.86,528 Valencia St,Mission,9,4,2021-01-21,2,1914,544294,3568,003,3568003,37.764414795,-122.42213594
156,39.8,838 Pacific Av,Chinatown,3,1,2025-06-10,200,1962,0,0160,030,0160030,37.796996643,-122.409405351
157,39.73,358 Frederick St,Haight Ashbury,8,2,2024-01-22,12,1912,878161,1252,023,1252023,37.766976566,-122.449378333
158,39.72,832 Florida St,Mission,9,2,2024-05-09,2,1900,271881,4085,005,4085005,37.758498465,-122.410896407
159,39.68,2237 Leavenworth St,Russian Hill,3,3,2022-02-28,3,1908,1231423,0071,003,0071003,37.801820951,-122.418186909
160,39.67,517 Broadway,North Beach,3,3,2021-12-28,3,1909,1690193,0162,025,0162025,37.797746087,-122.405864462
161,39.61,35 Buena Vista Tr,Castro/Upper Market,8,2,2024-03-08,7,1900,524897,2609,039,2609039,37.768334986,-122.438024417
162,39.48,534 Broadway,North Beach,3,1,2026-06-02,4,1910,1414107,0145,010,0145010,37.798235437,-122.406158045
163,39.34,940 Bay St,Russian Hill,2,1,2025-09-18,18,1926,2927208,0453,004,0453004,37.804754534,-122.422579477
164,39.34,1104 Stockton St,Chinatown,3,2,2023-12-05,16,1908,778766,0178,011,0178011,37.795972434,-122.407994544
165,39.34,950 Bay St,Russian Hill,2,1,2025-09-18,18,1926,2927208,0453,004A,0453004A,37.804725515,-122.422807608
166,39.31,1200 17th Av,Inner Sunset,7,1,2026-03-06,12,1928,1751882,1734,037,1734037,37.765285546,-122.47492149
167,39.25,1331 Stockton St,Chinatown,3,1,2026-05-21,3,1911,1319920,0147,003,0147003,37.79802476,-122.409111394
168,39.2,1128 Greenwich St,Russian Hill,3,2,2024-01-25,5,1940,512501,0071,005E,0071005E,37.80138082,-122.418301394
169,39.2,800 48th Av,Outer Richmond,1,1,2026-05-22,7,1961,1166498,1690,037,1690037,37.773080283,-122.508763065
170,39.08,455 Judah St,Inner Sunset,7,1,2026-05-15,10,1925,1040000,1844,043,1844043,37.76188901,-122.467057625
171,39.07,1711 Mason St,Russian Hill,3,2,2024-01-23,3,1923,452570,0119,008,0119008,37.79930891,-122.412536893
172,39.07,5347 Geary Bl,Outer Richmond,1,1,2026-05-29,7,1922,994512,1527,036,1527036,37.780239886,-122.476960555
173,39.07,1400 La Playa,Sunset/Parkside,4,1,2026-06-12,12,1960,772709,1805,052,1805052,37.760039763,-122.508748913
174,38.92,1054 Divisadero St,Western Addition,5,2,2023-12-15,3,1906,608162,1154,017,1154017,37.779424921,-122.438435327
175,38.9,599 Dolores St,Mission,8,1,2026-05-11,15,1900,793584,3587,029,3587029,37.759987598,-122.425562058
176,38.85,3310 25th St,Mission,9,2,2023-12-14,6,1917,480882,6518,013A,6518013A,37.750871376,-122.416459149
177,38.83,283 Green St,North Beach,3,1,2025-12-17,14,1912,1851300,0134,026,0134026,37.799986573,-122.403971989
178,38.82,1300 Grant Av,North Beach,3,1,2025-10-09,14,1907,2366508,0132,028,0132028,37.799097696,-122.40704926
179,38.81,874 Sacramento St,Chinatown,3,2,2023-10-05,23,1911,590568,0225,013,0225013,37.793357102,-122.407494371
180,38.73,611 Guerrero St,Mission,9,2,2023-09-11,19,1924,784704,3588,065,3588065,37.761364469,-122.423445955
181,38.72,267 Green St,North Beach,3,1,2025-10-28,21,1913,1970280,0134,027,0134027,37.79996169,-122.403725757
182,38.67,1303 Fell St,Hayes Valley,5,1,2026-03-20,12,1900,1037715,1214,001,1214001,37.773682227,-122.439538964
183,38.66,1207 Chestnut St,Russian Hill,3,1,2025-10-09,12,1924,2265110,0499,001,0499001,37.802283241,-122.423341644
184,38.64,2048 Polk St,Russian Hill,3,1,2025-10-20,95,1907,277677,0573,012,0573012,37.795677796,-122.421497532
185,38.63,391 Valencia St,Mission,9,1,2025-10-01,52,1907,1388683,3547,009,3547009,37.766811065,-122.421752526
186,38.54,2425 Diamond St,Glen Park,8,1,2026-06-10,9,1968,358255,7551,102,7551102,37.738885575,-122.435790872
187,38.52,2114 Mission St,Mission,9,3,2021-10-19,15,1912,868947,3576,002,3576002,37.763089822,-122.419828635
188,38.49,1691 Mcallister St,Western Addition,5,1,2026-01-06,10,1880,1466393,1179,019,1179019,37.777414359,-122.439743938
189,38.48,120 Addison St,Glen Park,8,1,2026-02-19,25,1968,783190,7543,100,7543100,37.737887115,-122.432174024
190,38.47,270 Mcallister St,Tenderloin,5,2,2023-02-16,85,1911,629058,0347,007,0347007,37.780855767,-122.416515563
191,38.47,558 Filbert St,North Beach,3,1,2025-11-04,14,1907,1838519,0088,011,0088011,37.801759565,-122.40878659
192,38.46,345 Green St,North Beach,3,1,2025-10-28,12,1951,1931648,0133,043,0133043,37.799728724,-122.404930869
193,38.45,756 Page St,Haight Ashbury,5,4,2019-10-31,11,1924,2426303,0844,037,0844037,37.773058785,-122.433285513
194,38.42,30 Sycamore St,Mission,9,1,2026-02-04,24,1907,865310,3576,066,3576066,37.762852558,-122.420173446
195,38.32,311 Corbett Av,Castro/Upper Market,8,1,2025-12-23,16,1961,1282454,2659,055,2659055,37.760401375,-122.444105378
196,38.32,618 Natoma St,South of Market,6,1,2026-06-15,5,1911,203475,3727,045,3727045,37.778129943,-122.410570779
197,38.31,1338 Stockton St,Chinatown,3,1,2026-02-05,5,1907,1182623,0146,015,0146015,37.798245978,-122.408383482
198,38.3,827 Greenwich St,Russian Hill,3,2,2023-10-02,3,1907,587215,0091,053,0091053,37.80165184,-122.413360693
199,38.3,2940 Van Ness Av,Russian Hill,2,2,2023-10-30,12,1925,162791,0478,013,0478013,37.802852505,-122.424412494
200,38.3,635 Scott St,Hayes Valley,5,1,2025-10-15,8,1958,1968175,1202,001B,1202001B,37.77567011,-122.436565338
201,38.29,1304 Lombard St,Russian Hill,3,1,2025-10-17,12,1924,1852860,0499,002A,0499002A,37.801758599,-122.4231302
202,38.25,118 Church St,Castro/Upper Market,8,5,2019-04-12,6,1968,665478,3537,005,3537005,37.769018462,-122.429458565
203,38.24,558 08th Av,Inner Richmond,1,1,2026-06-10,3,1900,209200,1550,036,1550036,37.777913069,-122.465878983
204,38.23,294 Clipper St,Noe Valley,8,2,2023-10-17,4,1904,385517,6548,020,6548020,37.749223664,-122.431318589
205,38.12,1929 Stockton St,North Beach,3,1,2025-12-02,7,1907,1455322,0063,005,0063005,37.803631359,-122.410093834
206,38.1,1645 Folsom St,Mission,6,1,2026-01-08,12,1909,1046085,3522,065,3522065,37.770283112,-122.415031417
207,38.1,688 Commercial St,Chinatown,3,1,2026-05-28,6,1909,112808,0227,033,0227033,37.794217303,-122.404388631
208,38.06,573 Vallejo St,North Beach,3,2,2023-10-03,3,1912,355305,0145,034,0145034,37.798695421,-122.406714337
209,38.01,900 Bay St,Russian Hill,2,1,2025-09-18,12,1925,1808369,0453,003A,0453003A,37.804777433,-122.422061726
210,37.99,1656 Anza St,Inner Richmond,1,1,2026-03-24,4,1908,546624,1537,021,1537021,37.77915083,-122.466039407
211,37.98,20 Dorland St,Mission,8,1,2026-04-16,4,1913,367946,3578,046,3578046,37.76251598,-122.424449458
212,37.95,10 Sumner St,South of Market,6,1,2026-05-12,4,1908,133942,3730,042,3730042,37.776267892,-122.410671176
213,37.89,301 Columbus Av,Chinatown,3,1,2025-11-25,2,1907,1407451,0146,002,0146002,37.797982907,-122.407216137
214,37.87,1138 Fell St,Hayes Valley,5,1,2026-04-24,5,1900,179209,1203,011,1203011,37.774467025,-122.436671403
215,37.78,4323 20th St,Castro/Upper Market,8,1,2025-11-05,12,1966,1229582,2751,028,2751028,37.75737396,-122.436235452
216,37.77,116 Albion St,Mission,9,5,2018-08-06,6,1906,2114278,3568,027,3568027,37.764473445,-122.423079732
217,37.74,500 Greenwich St,North Beach,3,1,2026-02-05,9,1907,558327,0077,011,0077011,37.802622117,-122.408162741
218,37.73,1906 Ocean Av,West of Twin Peaks,7,1,2025-09-04,12,1958,1658753,3282,027A,3282027A,37.725557014,-122.462282525
219,37.72,125 Palm Av,Presidio Heights,2,1,2025-12-29,10,1964,806533,1061,006,1061006,37.783185906,-122.458216119
220,37.69,299 Richland Av,Bernal Heights,9,1,2026-02-09,3,1914,615118,5720,001,5720001,37.735976906,-122.420294155
221,37.66,1821 Polk St,Russian Hill,3,1,2025-03-04,12,1908,2990666,0598,002,0598002,37.793576385,-122.421585474
222,37.66,105 Julian Av,Mission,9,1,2026-02-03,8,1923,516034,3554,050,3554050,37.766411844,-122.420875618
223,37.61,103 Park St,Bernal Heights,9,1,2026-02-04,4,1900,551481,5718,029,5718029,37.736778235,-122.423487711
224,37.6,950 Cabrillo St,Inner Richmond,1,1,2025-12-04,14,1927,796570,1634,018,1634018,37.775315629,-122.468975006
225,37.53,1364 Noe St,Noe Valley,8,1,2026-03-04,3,1978,294446,6581,050,6581050,37.747103893,-122.431711077
226,37.52,80 Alta St,North Beach,3,1,2025-09-18,12,1961,1352803,0106,036,0106036,37.801655771,-122.404237523
227,37.43,479 Sanchez St,Castro/Upper Market,8,2,2023-04-03,6,1908,1083189,3580,027,3580027,37.761518035,-122.430298827
228,37.41,567 Valencia St,Mission,9,1,2026-02-17,9,1907,153092,3569,040,3569040,37.763818447,-122.421486297
229,37.37,1225 03rd Av,Inner Sunset,7,1,2026-02-06,2,1908,359988,1747,005,1747005,37.765710549,-122.46031349
230,37.36,518 Anza St,Lone Mountain/USF,2,1,2025-12-09,5,1916,734788,1088,013,1088013,37.780601641,-122.452162806
231,37.35,1697 Newcomb Av,Bayview Hunters Point,10,1,2026-02-17,2,1900,254689,5311,016A,5311016A,37.736063965,-122.391660502
232,37.34,1307 20th Av,Sunset/Parkside,4,1,2024-12-05,18,1925,3227670,1775,052,1775052,37.763222502,-122.478510939
233,37.25,910 Bay St,Russian Hill,2,1,2025-09-23,12,1925,1052768,0453,003B,0453003B,37.804760299,-122.422200699
234,37.24,1369 48th Av,Sunset/Parkside,4,1,2026-01-06,5,1970,401928,1803,038,1803038,37.760939122,-122.508439612
235,37.23,350 Francisco St,North Beach,3,1,2025-11-19,18,1907,467181,0040,011,0040011,37.805264437,-122.41107892
236,37.23,655 Pacific Av,Chinatown,3,1,2025-09-25,57,1950,0,0177,022,0177022,37.796732745,-122.406100797
237,37.23,1200 Jackson St,Nob Hill,3,1,2025-06-23,9,1908,1809339,0183,007,0183007,37.79508504,-122.415120358
238,37.2,1345 Grant Av,North Beach,3,1,2025-10-09,11,1907,911048,0131,002,0131002,37.799391994,-122.407529729
239,37.12,1141 Post St,Tenderloin,3,1,2025-06-11,16,1915,1636093,0694,016,0694016,37.786484168,-122.420509034
240,37.09,3826 18th St,Castro/Upper Market,8,1,2025-10-10,4,1900,957093,3580,017,3580017,37.76150958,-122.429120407
241,37.07,1336 Grant Av,North Beach,3,1,2025-12-23,12,1907,197041,0132,029,0132029,37.799376557,-122.407105437
242,37.0,51 Jasper Pl,North Beach,3,2,2023-04-07,3,1908,721372,0116,034,0116034,37.800224849,-122.408435455
243,36.99,2301 Polk St,Russian Hill,3,1,2025-03-20,11,1907,2263846,0547,003A,0547003A,37.797991598,-122.422425772
244,36.99,790 Vallejo St,Chinatown,3,2,2023-02-27,4,1907,979200,0130,022,0130022,37.798583944,-122.410294958
245,36.99,1601 Grant Av,North Beach,3,1,2025-10-16,15,1966,568839,0088,006,0088006,37.801698301,-122.408020683
246,36.94,479 03rd St,Financial District/South Beach,6,2,2023-05-24,2,1907,325725,3763,022,3763022,37.781747635,-122.39596461
247,36.94,125 Bay St,North Beach,3,1,2025-10-21,12,1972,555142,0039,023,0039023,37.805924067,-122.409623423
248,36.93,1000 Union St,Russian Hill,3,1,2023-10-03,31,1913,5826240,0098,002,0098002,37.799875632,-122.416012072
249,36.9,445 Lawton St,Inner Sunset,7,1,2026-01-05,4,1914,115494,1933,045,1933045,37.758119594,-122.467748279
250,36.88,1229 Chestnut St,Russian Hill,3,1,2025-09-22,24,1926,441886,0499,001H,0499001H,37.80213783,-122.42358392
251,36.87,450 Jones St,Tenderloin,5,2,2022-08-10,60,1910,1131270,0324,014,0324014,37.785546607,-122.412715404
252,36.87,1615 Grant Av,North Beach,3,1,2025-10-16,16,1908,434080,0088,005,0088005,37.801885247,-122.408057625
253,36.84,559 Valencia St,Mission,9,1,2025-11-21,4,1907,399707,3569,041,3569041,37.764010138,-122.421504655
254,36.82,451 Bartlett St,Mission,9,2,2023-04-26,7,1900,311537,6529,016,6529016,37.749822874,-122.41901901
255,36.8,367 Chestnut St,North Beach,3,1,2025-11-20,9,1907,262045,0062,023,0062023,37.804009229,-122.409394915
256,36.79,290 Green St,North Beach,3,1,2025-11-06,9,1927,358580,0113,016A,0113016A,37.800308678,-122.40409246
257,36.78,3448 Divisadero St,Marina,2,1,2025-09-16,3,1946,873936,0928,021,0928021,37.801614109,-122.442868455
258,36.76,156 Jasper Pl,North Beach,3,2,2023-03-08,6,1907,647232,0103,033,0103033,37.801241398,-122.408369169
259,36.72,875 Lombard St,Russian Hill,3,1,2025-12-11,3,1968,163513,0073,017A,0073017A,37.802190525,-122.415807761
260,36.68,930 Bay St,Russian Hill,2,1,2025-10-30,9,1925,303499,0453,003D,0453003D,37.804733672,-122.422410033
261,36.66,866 Green St,Russian Hill,3,1,2025-10-23,9,1955,340425,0119,019,0119019,37.799247786,-122.413392555
262,36.66,103 Balboa St,Inner Richmond,1,1,2025-09-03,7,1906,768252,1642,001,1642001,37.777271392,-122.45999754
263,36.64,3233 Pierce St,Marina,2,1,2025-12-12,3,1913,79228,0489,006,0489006,37.799895286,-122.439741998
264,36.62,2518 Taraval St,Sunset/Parkside,4,1,2025-11-05,3,1955,336505,2364,021,2364021,37.742526626,-122.493216523
265,36.61,16 Dearborn St,Mission,9,2,2023-03-16,4,1907,494831,3577,042,3577042,37.762818427,-122.423252316
266,36.57,1040 Stockton St,Chinatown,3,2,2023-03-15,16,1920,188202,0193,021,0193021,37.795545086,-122.407866154
267,36.53,94 Castro St,Castro/Upper Market,8,4,2019-07-16,6,1911,1545287,2611,016,2611016,37.76752597,-122.435854232
268,36.5,791 Page St,Haight Ashbury,5,1,2025-09-18,3,1911,590154,0847,026,0847026,37.772439185,-122.433611475
269,36.5,6500 03rd St,Bayview Hunters Point,10,1,2025-11-18,2,1970,153671,5475,001,5475001,37.719481412,-122.397315654
270,36.49,1018 Clay St,Nob Hill,3,1,2025-08-05,3,1908,919456,0212,010,0212010,37.793987435,-122.409979712
271,36.47,1350 Grant Av,North Beach,3,1,2025-10-16,12,1907,148993,0132,051,0132051,37.799539045,-122.407185488
272,36.43,557 Union St,North Beach,3,2,2023-02-28,5,1908,420016,0116,032,0116032,37.800348354,-122.408505996
273,36.43,840 Hayes St,Hayes Valley,5,1,2025-04-23,12,1906,1446966,0804,010,0804010,37.776225393,-122.430382435
274,36.38,920 Bay St,Russian Hill,2,1,2025-09-23,9,1925,303474,0453,003C,0453003C,37.804745627,-122.422316046
275,36.37,1003 Post St,Tenderloin,3,1,2025-04-16,12,1912,1447636,0693,001,0693001,37.786865882,-122.418525426
276,36.35,3042 Steiner St,Marina,2,1,2025-11-10,2,1908,67926,0534,024,0534024,37.79754366,-122.437039945
277,36.34,2775 Market St,Castro/Upper Market,8,3,2018-04-10,32,1962,8246459,2650,044,2650044,37.761309328,-122.439058772
278,36.28,520 Lombard St,North Beach,3,1,2025-06-02,5,1907,1160000,0063,010,0063010,37.803459448,-122.410253127
