rank,score,address,neighborhood,supervisor_district,nov_count,last_nov_date,units,year_built,assessed_improvement_value,block,lot,parcel_number,lat,lng
881,16.73,1430 Sacramento St,Nob Hill,3,1,2018-10-25,7,1909,1081405,0219,007,0219007,37.792254764,-122.416605105
882,16.72,689 14th St,Castro/Upper Market,8,1,2019-02-26,6,1900,151716,3544,070,3544070,37.767534592,-122.428247935
883,16.71,1320 Wayland St,Portola,9,1,2019-03-25,2,1900,30451,6036,008,6036008,37.723452384,-122.415486388
884,16.71,613 Masonic Av,Lone Mountain/USF,5,1,2019-01-31,4,1916,388844,1187,002A,1187002A,37.775497696,-122.446755952
885,16.69,505 Grand View Av,Noe Valley,8,1,2018-10-01,6,1961,1249895,2828,044,2828044,37.751406234,-122.442600218
886,16.67,155 Turk St,Tenderloin,5,1,2018-07-10,52,1926,822449,0343,017A,0343017A,37.782826709,-122.41155488
887,16.62,425 Hyde St,Tenderloin,5,1,2018-03-01,25,1923,2390319,0321,007,0321007,37.784804065,-122.416504321
888,16.58,1311 19th Av,Sunset/Parkside,4,1,2019-02-06,2,1906,267442,1774,003,1774003,37.763268144,-122.477448042
889,16.57,316 Valencia St,Mission,9,1,2018-02-26,30,1908,2245519,3546,001,3546001,37.767855284,-122.422484405
890,16.57,280 18th Av,Outer Richmond,1,1,2019-01-22,2,1905,366220,1416,025,1416025,37.78280506,-122.477077273
891,16.51,347 Noe St,Castro/Upper Market,8,1,2018-12-10,2,1900,635572,3564,084,3564084,37.763420821,-122.432703115
892,16.5,121 Cornwall St,Inner Richmond,1,1,2019-02-08,2,1904,171120,1431,047,1431047,37.784739238,-122.460700617
893,16.49,3375 Market St,Castro/Upper Market,8,1,2019-01-22,6,1912,204962,2713,017,2713017,37.758044468,-122.443217235
894,16.49,844 Waller St,Haight Ashbury,5,1,2018-09-17,6,1900,1168010,1240,011,1240011,37.770519597,-122.437690921
895,16.46,310 Otsego Av,Outer Mission,11,1,2018-11-15,7,1966,667439,6952,010,6952010,37.723132908,-122.441394019
896,16.41,3301 Clay St,Presidio Heights,2,1,2018-04-24,31,1929,1641183,1008,001,1008001,37.788827178,-122.447334849
897,16.41,954 De Haro St,Potrero Hill,10,1,2019-02-13,2,1926,47493,4095,028,4095028,37.757701396,-122.401231922
898,16.4,991 Valencia St,Mission,9,1,2018-03-20,15,1900,2258924,3609,026,3609026,37.757082705,-122.420838103
899,16.38,517 Lyon St,Lone Mountain/USF,5,1,2018-11-13,2,1900,721805,1185,002,1185002,37.775789701,-122.443351337
900,16.36,142 Alpine Tr,Castro/Upper Market,8,1,2018-11-05,2,1906,764237,2609,011,2609011,37.768151326,-122.437634807
901,16.32,3523 Sacramento St,Presidio Heights,2,1,2018-07-02,3,1888,1669325,1019,030,1019030,37.787466255,-122.450714172
902,16.27,1671 Greenwich St,Marina,2,1,2018-11-05,6,1906,589063,0521,034,0521034,37.799862411,-122.427153328
903,16.23,1152 York St,Mission,9,1,2019-01-02,2,1900,204552,4209,009,4209009,37.753528515,-122.408532139
904,16.19,2477 Mission St,Mission,9,1,2018-09-24,17,1900,588559,3610,020,3610020,37.757409048,-122.418618926
905,16.18,742 Divisadero St,Hayes Valley,5,1,2019-01-07,6,1905,28057,1181,016,1181016,37.776533663,-122.437813247
906,16.12,68 Diamond St,Castro/Upper Market,8,1,2018-08-02,9,1965,1104365,2649,011,2649011,37.761264889,-122.437566619
907,16.08,1152 Jackson St,Nob Hill,3,1,2018-08-20,8,1912,956600,0182,011,0182011,37.795345526,-122.414121673
908,16.0,522 Hyde St,Tenderloin,5,1,2018-03-14,19,1910,1837323,0319,019,0319019,37.785822897,-122.416098128
909,15.97,155 Henry St,Castro/Upper Market,8,1,2018-11-06,2,1904,393711,3540,045,3540045,37.766349518,-122.434507085
910,15.92,3672 20th St,Mission,9,1,2018-10-16,5,1907,431253,3597,025,3597025,37.758647346,-122.422894745
911,15.91,1382 Masonic Av,Haight Ashbury,8,1,2018-10-03,4,1903,550125,1256,024,1256024,37.767798836,-122.444522081
912,15.78,1959 Golden Gate Av,Lone Mountain/USF,2,1,2018-09-27,2,1926,514936,1158,031,1158031,37.777931443,-122.442872988
913,15.76,90 Divisadero St,Castro/Upper Market,8,1,2018-06-04,7,1911,1260322,2611,035,2611035,37.768721532,-122.436428561
914,15.69,232 Talbert St,Visitacion Valley,10,1,2018-11-06,2,1941,123657,6309D,004,6309D004,37.708980923,-122.407305799
915,15.68,1048 Larkin St,Nob Hill,3,1,2018-04-17,41,1907,777596,0301,016,0301016,37.787720081,-122.418166659
916,15.65,109 Pierce St,Haight Ashbury,5,1,2018-08-29,3,1900,587318,0862,007,0862007,37.770919752,-122.433896222
917,15.63,719 15th Av,Outer Richmond,1,1,2018-11-02,2,1924,99168,1658,002,1658002,37.774493549,-122.47387383
918,15.61,3057 Market St,Castro/Upper Market,8,1,2018-06-27,2,1958,1058760,2658,043,2658043,37.760873633,-122.442303484
919,15.59,429 04th Av,Inner Richmond,1,1,2018-10-16,3,1900,166602,1540,005,1540005,37.780415891,-122.462419877
920,15.59,1490 21st Av,Sunset/Parkside,4,1,2018-09-13,5,1972,375987,1833,015,1833015,37.759997387,-122.478836575
921,15.59,3334 San Bruno Av,Portola,10,1,2018-07-06,9,1965,815420,6172,024,6172024,37.719653212,-122.400840009
922,15.58,3159 Jackson St,Presidio Heights,2,1,2018-04-17,2,1904,1574659,0983,023,0983023,37.79064974,-122.447040294
923,15.55,430 Castro St,Castro/Upper Market,8,1,2018-06-06,11,1909,959769,2647,003,2647003,37.761961179,-122.435421407
924,15.43,141 Duboce Av,Mission,9,1,2018-07-30,6,1907,541108,3533,067,3533067,37.76958088,-122.423243278
925,15.31,514 06th Av,Inner Richmond,1,1,2018-07-25,5,1964,490452,1548,045,1548045,37.778762395,-122.463834774
926,15.31,1735 Lake St,Outer Richmond,1,1,2018-07-23,6,1911,484966,1378,032,1378032,37.785811742,-122.478247043
927,15.3,637 Haight St,Haight Ashbury,5,1,2018-07-25,8,1885,413649,0861,031,0861031,37.771540062,-122.432642595
928,15.28,1876 Green St,Marina,2,1,2018-09-11,4,1900,120247,0543,017,0543017,37.797064846,-122.430000242
929,15.23,46 Lloyd St,Haight Ashbury,8,1,2018-06-01,4,1900,849439,1260,039,1260039,37.769954799,-122.435857239
930,15.22,940 Jones St,Nob Hill,3,1,2018-01-11,8,1915,1822262,0275,007,0275007,37.790099212,-122.413568339
931,15.12,317 Sanchez St,Castro/Upper Market,8,1,2018-06-29,6,1885,487488,3565,073,3565073,37.764152514,-122.430665294
932,15.09,20 Franklin St,Hayes Valley,6,1,2018-02-14,72,1917,0,0836,010,0836010,37.774577764,-122.420534632
933,15.09,501 Russia Av,Excelsior,11,1,2018-04-20,13,1927,839100,6089,018,6089018,37.719689634,-122.432835396
934,15.08,425 Eddy St,Tenderloin,5,1,2018-03-26,29,1924,651469,0337,019,0337019,37.783433903,-122.414698537
935,15.04,37 Priest St,Nob Hill,3,1,2018-06-27,3,1927,494021,0215,029,0215029,37.793584037,-122.415387342
936,14.94,1765 Oakdale Av,Bayview Hunters Point,10,1,2018-07-23,2,1910,225363,5321,037,5321037,37.736131145,-122.393574189
937,14.87,1455 Clay St,Nob Hill,3,1,2018-06-19,13,1922,173479,0219,020,0219020,37.792621898,-122.416997757
938,14.85,5 Coso Av,Bernal Heights,9,1,2018-08-03,2,1906,61025,5517,053,5517053,37.74661255,-122.4179748
939,14.81,649 Page St,Hayes Valley,5,1,2018-06-07,10,1925,276290,0848,002D,0848002D,37.772718267,-122.431304193
940,14.8,438 Ofarrell St,Tenderloin,5,1,2018-02-09,33,1910,641432,0317,006,0317006,37.786093873,-122.412094385
941,14.8,258 Noe St,Castro/Upper Market,8,1,2018-05-31,2,1900,499792,3561,009,3561009,37.764832767,-122.433473874
942,14.78,175 06th St,South of Market,6,1,2018-02-27,6,1912,1096939,3725,026,3725026,37.780208394,-122.407363573
943,14.77,543 Buena Vista West Av,Haight Ashbury,8,1,2018-04-12,9,1959,687043,2616,042,2616042,37.76615489,-122.443431563
944,14.77,1009 Dolores St,Mission,8,1,2018-07-19,3,1914,78251,3648,031,3648031,37.753253992,-122.424947328
945,14.73,82 Woodward St,Mission,9,1,2018-05-23,2,1912,497060,3532,055,3532055,37.768663222,-122.421002695
946,14.69,47 28th St,Noe Valley,8,1,2018-04-17,2,1900,727492,6616,042,6616042,37.745278958,-122.423090028
947,14.67,2519 Van Ness Av,Marina,2,1,2018-01-18,3,1902,1367792,0527,007,0527007,37.79879708,-122.424459624
948,14.67,58 Lafayette St,Mission,6,1,2018-03-08,6,1912,930580,3511,040,3511040,37.772826205,-122.41728281
949,14.67,1 Fair Oaks St,Mission,8,1,2018-03-05,10,1924,854974,3618,064,3618064,37.756505046,-122.424217832
950,14.63,676 10th Av,Inner Richmond,1,1,2018-05-25,2,1911,384007,1635,022,1635022,37.775676079,-122.467860705
951,14.62,370 02nd Av,Inner Richmond,1,1,2018-05-17,3,1900,417538,1433,017,1433017,37.781844763,-122.459713908
952,14.6,5745 Mission St,Excelsior,11,1,2018-04-25,5,1949,513137,6473,038,6473038,37.709593357,-122.449129666
953,14.59,3634 16th St,Castro/Upper Market,8,1,2018-05-15,4,1906,375846,3561,020,3561020,37.764454892,-122.433950129
954,14.59,2233 Turk Bl,Lone Mountain/USF,2,1,2018-05-18,2,1900,400239,1149,027,1149027,37.778462474,-122.445818457
955,14.48,996 Valencia St,Mission,9,1,2018-02-02,19,1901,710617,3608,010,3608010,37.757040117,-122.421431253
956,14.48,169 Corbett Av,Castro/Upper Market,8,1,2018-04-10,2,1900,589748,2656,053,2656053,37.761500624,-122.442024423
957,14.46,4377 24th St,Noe Valley,8,1,2018-06-14,2,1941,68828,6503,028A,6503028A,37.750687794,-122.440110531
958,14.43,74 Harper St,Glen Park,8,1,2018-05-11,2,1900,302517,6652,011,6652011,37.74059062,-122.430291216
959,14.42,680 09th Av,Inner Richmond,1,1,2018-03-20,6,1900,599364,1636,012,1636012,37.775656356,-122.466783432
960,14.38,620 06th Av,Inner Richmond,1,1,2018-05-03,2,1922,316472,1639,043,1639043,37.776829743,-122.463652268
961,14.31,1779 15th St,Mission,9,1,2018-02-01,3,1908,922790,3555,037,3555037,37.766211701,-122.423715997
962,14.3,1333 Judah St,Inner Sunset,7,1,2018-05-09,2,1945,198066,1835,045,1835045,37.761472886,-122.476531846
963,14.3,1496 Dolores St,Noe Valley,8,1,2018-05-03,4,1900,198393,6600,008,6600008,37.7455346,-122.424930469
964,14.3,4372 Mission St,Outer Mission,11,1,2018-04-30,8,1917,128851,6798,001,6798001,37.727726035,-122.4327157
965,14.29,229 02nd Av,Inner Richmond,1,1,2018-03-22,4,1906,504751,1431,005,1431005,37.784367833,-122.460552451
966,14.26,85 14th St,Mission,9,1,2018-03-12,6,1914,509614,3550,008,3550008,37.768339631,-122.415148353
967,14.25,3809 18th St,Castro/Upper Market,8,1,2018-05-16,3,1926,73355,3585,086,3585086,37.761083518,-122.428607633
968,14.21,121 Schwerin St,Visitacion Valley,10,1,2018-04-16,3,1913,265596,6302,034,6302034,37.711727367,-122.410532568
969,14.16,221 Masonic Av,Lone Mountain/USF,1,1,2018-05-01,2,1939,124537,1109,002B,1109002B,37.779708102,-122.447564248
970,14.15,1370 Washington St,Nob Hill,3,1,2018-01-25,7,1915,737342,0188,009A,0188009A,37.794199156,-122.415768743
971,14.11,3817 Anza St,Outer Richmond,1,1,2018-03-19,4,1948,364110,1572,020,1572020,37.777728777,-122.489194974
972,14.09,1264 Treat Av,Mission,9,1,2018-02-12,2,1900,655451,6524,014,6524014,37.749946962,-122.41296918
973,14.06,832 Vallejo St,Chinatown,3,1,2018-02-02,6,1907,609372,0129,011,0129011,37.798573123,-122.411134389
974,14.04,569 Shotwell St,Mission,9,1,2018-03-06,7,1900,328734,3594,043,3594043,37.759366815,-122.415513862
975,14.04,306 Lawton St,Inner Sunset,7,1,2018-02-22,2,1939,526492,1855,018A,1855018A,37.758579903,-122.466151209
976,13.98,649 Minna St,South of Market,6,1,2018-02-13,4,1916,501802,3727,074,3727074,37.777796881,-122.411374705
977,13.96,290 Prague St,Excelsior,11,1,2018-02-28,5,1964,341903,6094,019,6094019,37.71774789,-122.428335189
978,13.93,320 12th St,Mission,6,1,2018-04-10,3,1907,46176,3522,003,3522003,37.770477113,-122.414611
979,13.77,1252 Montgomery St,North Beach,3,1,2018-03-22,2,1900,59270,0113,019,0113019,37.800802041,-122.404190711
980,13.75,4963 Mission St,Excelsior,11,1,2018-03-07,2,1917,156507,6346,006C,6346006C,37.718921334,-122.43882245
981,13.67,715 Clementina St,South of Market,6,1,2018-01-26,6,1911,295806,3729,041,3729041,37.775066225,-122.410797599
982,13.64,3660 20th St,Mission,9,1,2018-01-30,5,1907,265302,3597,022,3597022,37.758662958,-122.422636342
983,13.53,4138 Geary Bl,Inner Richmond,1,1,2018-01-17,3,1925,298972,1437,021,1437021,37.781344377,-122.463944551
984,13.51,2729 Pine St,Pacific Heights,2,1,2018-01-10,2,1900,357370,1049,028,1049028,37.786711549,-122.441143097
985,13.35,320 02nd Av,Inner Richmond,1,1,2018-01-05,4,1909,203071,1433,030,1433030,37.782738675,-122.459778369
